time,activity,appCat.builtin,call,circumplex.arousal,circumplex.valence,mood,screen,sms
2014-04-22,0.09192955182229205,12.092644808743177,1.0,0.2,1.0,7.4,84.64628414899272,0.0
2014-04-23,0.04598568913376553,7.963676056338031,1.0,0.2,1.0,7.6,96.90226666291557,0.0
2014-04-24,0.0509029881940343,9.646519736842098,1.0,-0.4,1.0,7.6,206.41568224452377,0.0
2014-04-25,0.10906106363682745,6.289330769230768,1.0,-0.2,0.8,7.2,99.1059716288925,1.0
2014-04-26,0.21424877162423497,8.73251515151515,1.0,-0.2,1.0,7.6,221.17169999054497,1.0
2014-04-27,0.030478923798963695,15.747731707317069,0.0,0.0,1.0,7.5,107.5577735855895,0.0
2014-04-28,0.0196753225383989,11.508780701754384,1.0,-0.8,0.8,7.6,121.43629213129535,0.0
2014-04-29,0.10275824852950448,38.05692805755397,0.0,-0.25,1.0,7.0,77.1891372460945,0.0
2014-04-30,0.1510514590407472,7.160703389830509,1.0,-0.4,0.75,7.8,79.78786955709045,0.0
2014-05-01,0.03706526814765703,9.380565,1.0,-0.4,1.0,8.0,81.24058637943568,1.0
2014-05-02,0.07734101929677568,6.6286333333333305,0.0,-0.2,1.0,7.6,120.7081520061493,0.0
2014-05-03,0.07174088489517204,9.657141025641023,0.0,-0.2,1.0,8.0,109.1471466763814,1.0
2014-05-04,0.13619180837703834,18.509873684210522,0.0,-0.5,1.0,8.0,92.01867186650632,0.0
2014-04-09,0.24720984804489024,8.97498113207547,1.0,-0.5,0.25,7.25,35.76040994158441,1.0
2014-04-10,0.2607506038432932,10.511709677419352,1.0,0.25,0.75,7.25,47.54084241606972,1.0
2014-04-11,0.42448142730843674,10.531918367346936,1.0,-0.5,0.5,6.5,28.762524758235063,1.0
2014-04-12,0.3783017333120428,14.613343999999994,1.0,-2.0,-1.0,6.0,26.706708037940253,1.0
2014-04-13,0.28982011828279997,9.461351851851848,1.0,-0.6,0.4,7.2,20.912221131416473,0.0
2014-04-14,0.18707405017212794,10.124649999999997,1.0,0.75,1.0,8.0,28.885864593088638,1.0
2014-04-15,0.1736288831786874,8.188833333333335,1.0,-0.5,0.5,7.25,38.96038891209498,1.0
2014-04-17,0.4700854700854705,2.0069999999999997,1.0,0.25,0.0,6.5,13.744999885559073,1.0
2014-04-19,0.5,10.09,1.0,-0.6666666666666666,-0.3333333333333333,5.666666666666667,93.66100001335155,0.0
2014-04-23,0.12038971933691188,9.6916,0.0,0.6,0.8,7.0,39.92923364238205,1.0
2014-04-24,0.10600109223606824,9.639583333333333,0.0,-0.2,1.0,7.4,49.93473469724461,0.0
2014-04-25,0.10616761822048393,8.424800000000001,0.0,-1.0,1.0,7.5,106.50705882147243,0.0
2014-04-26,0.2691422503343846,26.07594117647059,1.0,-0.25,1.0,7.5,53.677753837292016,1.0
2014-04-27,0.06555207175889924,4.47,0.0,-1.4,1.0,7.6,66.9738860643363,0.0
2014-04-28,0.08262849034113322,7.3880625,1.0,-1.4,1.0,7.0,31.450654205874862,0.0
2014-04-29,0.1186958482249048,10.3895,0.0,-0.6,1.0,7.2,32.19223683131369,0.0
2014-04-30,0.0896922408290305,19.108800000000002,0.0,-1.2,1.0,7.0,50.592259248097726,0.0
2014-05-01,0.13638883459215953,114.0235625,1.0,-0.8,1.0,7.2,45.670243902904225,0.0
2014-05-02,0.13437692269476761,7.22934210526316,1.0,-1.2,1.4,7.6,76.22039080762315,1.0
2014-05-03,0.13891893143630113,45.87324999999999,1.0,-0.4,1.0,7.75,72.86568627637979,0.0
2014-05-04,0.06616240664834475,5.3756,1.0,-1.2,0.8,7.4,64.8550851142153,0.0
2014-05-05,0.1011820050553937,4.4515714285714285,1.0,-1.0,1.0,7.25,27.572118641966497,1.0
2014-05-07,0.09445035643820725,55.360076923076925,0.0,-0.6666666666666666,1.0,7.666666666666667,39.90363636883822,0.0
2014-04-21,0.10177745806111634,24.086,0.0,-0.6,1.0,7.2,81.52977083126711,0.0
2014-04-22,0.06284797975562106,32.8625,1.0,0.4,1.0,7.2,57.23128917992835,1.0
2014-04-23,0.0809468968896285,17.489714285714285,0.0,-1.0,1.0,7.2,53.838852256536455,1.0
2014-04-24,0.03937106618606021,25.896235294117645,0.0,-0.75,1.0,7.2,68.42789189879959,0.0
2014-04-25,0.049052721518388076,88.38988888888889,1.0,-1.2,1.0,7.2,48.73003392098313,0.0
2014-04-26,0.20016636094205972,15.310533333333332,1.0,-0.8,1.0,7.8,35.59418831397959,1.0
2014-04-27,0.018822482895967982,13.007199999999997,0.0,-0.6,1.0,7.4,38.56759494769423,0.0
2014-04-28,0.010304627529119476,17.831416666666666,1.0,-0.6,1.0,7.0,61.809489800005544,0.0
2014-04-29,0.041165097146740985,27.584373498266217,0.0,0.4,0.8,6.8,51.071279983520505,0.0
2014-04-30,0.061608517822726604,15.790500000000002,0.0,-0.6,1.0,7.0,50.86072602337352,0.0
2014-05-01,0.02529227510600561,24.506357142857144,0.0,-0.2,1.0,6.8,61.25126504610819,0.0
2014-05-02,0.006817240295425038,52.68581666666668,0.0,-0.2,1.0,7.0,116.67227777066056,1.0
2014-05-03,0.05447085148853847,25.789421052631585,1.0,0.25,1.0,6.75,64.05605171055632,1.0
2014-05-04,0.07258033493084994,10.453411764705884,1.0,0.25,1.0,7.0,58.20390139499183,0.0
2014-05-05,0.0024906600249066002,27.584373498266217,0.0,-0.3333333333333333,1.0,6.333333333333333,16.344333410263058,0.0
2014-04-25,0.2649999999999999,42.562526315789476,1.0,-1.0,0.4,6.4,87.0107978709201,0.0
2014-04-26,0.20659722222222232,20.434705882352944,1.0,0.0,1.0,7.5,51.93937399329209,1.0
2014-04-27,0.059715839460784285,56.096829491283195,0.0,-0.6,1.0,7.2,35.631979177395515,0.0
2014-04-28,0.17232443482443485,12.56575,0.0,-0.25,0.5,6.75,67.47472165786114,0.0
2014-04-29,0.1751971158833905,118.65658333333334,1.0,0.0,1.0,7.25,89.79212632430223,0.0
2014-04-30,0.10888427751577054,65.73424999999999,1.0,-0.6,0.6,6.8,88.13628570644221,0.0
2014-05-01,0.32672684458398754,18.163437499999997,1.0,0.0,1.0,8.0,68.27800000210603,0.0
2014-05-02,0.18526365348399243,76.33191666666666,1.0,-0.75,1.0,7.2,145.53006379147797,0.0
2014-05-03,0.22025871459694987,2.0045,0.0,-0.75,0.0,6.25,43.83709090406246,0.0
2014-05-04,0.16709055715309384,30.50208333333333,0.0,-0.8,0.75,7.6,82.6223616904401,0.0
2014-05-05,0.08203703703703703,4.8448,0.0,-0.6666666666666666,0.6666666666666666,7.0,87.15775409682853,0.0
2014-05-07,0.1173852329024742,65.54071428571427,1.0,-0.5,0.25,6.75,87.6397075563107,1.0
2014-05-08,0.0,56.096829491283195,0.0,-1.0,1.0,7.0,87.6080918202596,0.0
2014-04-21,0.0617854683195592,13.801025974025977,0.0,-0.4,0.8,6.6,156.24849150140412,0.0
2014-04-22,0.09099018199233716,21.069319999999998,0.0,-0.2,0.4,6.0,116.50514284931891,1.0
2014-04-23,0.07537353651992687,12.6580347826087,1.0,-0.6666666666666666,0.0,6.0,157.10185333569848,0.0
2014-04-24,0.15798611111111102,9.116061224489792,1.0,-0.6,0.4,5.6,51.18766128632331,1.0
2014-04-25,0.07604166666666665,12.586954545454544,1.0,0.3333333333333333,-0.6666666666666666,3.3333333333333335,73.56395946322259,0.0
2014-04-26,0.018915739069801877,19.97861363636364,0.0,-0.4,-0.2,5.4,177.52765120461947,0.0
2014-04-27,0.013407752824023428,12.076857142857142,1.0,-0.6,0.4,6.0,113.74831709338393,1.0
2014-04-28,0.09448967086834736,13.988045081967211,1.0,0.25,0.75,6.75,68.04162086920716,1.0
2014-04-29,0.13463824767244986,15.364785714285722,1.0,-2.0,0.0,5.0,65.19129412080729,1.0
2014-04-30,0.02414791881612267,-772.7685576923078,0.0,-2.0,0.5,5.0,75.7647157995325,0.0
2014-05-01,0.10358452683650247,11.582414634146337,0.0,-1.6666666666666667,-0.3333333333333333,5.0,151.14050002230536,0.0
